emp_id,name,base_wage,driver_eligible,score,corr_factor,can_boston,can_events,can_elite
A,Driver_A,48.0,1,5,1,1,1,1
B,Driver_B,46.0,1,5,1,1,1,1
X,Driver_X,37.25,1,4,2,1,1,1
U,Driver_U,35.75,1,5,1,1,1,1
C,Driver_C,34.5,1,4,2,1,1,1
Z,Driver_Z,33.0,1,4,2,0,1,0
Q,Driver_Q,32.25,1,4,2,1,0,0
AE,Driver_AE,32.0,1,4,2,0,0,0
AH,Driver_AH,29.0,1,3,2,1,0,0
F,Driver_F,29.0,1,5,1,0,1,1
T,Driver_T,28.75,1,5,1,0,1,1
AG,Driver_AG,28.0,1,4,2,0,0,0
V,Driver_V,28.0,1,3,3,0,0,0
AJ,Driver_AJ,27.5,1,5,1,1,0,0
H,Driver_H,27.5,1,3,3,0,0,0
K,Driver_K,27.0,1,5,1,1,0,0
M,Driver_M,26.0,1,2,3,0,0,0
P,Driver_P,26.0,1,4,2,0,1,0
W,Driver_W,25.75,1,3,3,0,0,0
AI,Driver_AI,25.5,1,1,4,0,0,0
I,Driver_I,25.25,1,5,1,0,0,0
D,Driver_D,24.75,1,3,3,0,1,0
AD,Driver_AD,24.75,1,3,3,0,1,0
AA,Driver_AA,24.5,1,1,4,0,0,0
S,Driver_S,23.75,1,1,4,0,0,0
AM,Driver_AM,23.5,1,3,3,1,1,0
AF,Driver_AF,23.25,1,5,1,0,1,0
AB,Driver_AB,23.0,1,2,3,0,0,0
E,Driver_E,23.0,1,3,3,0,0,0
AC,Driver_AC,22.75,1,1,4,0,1,0
R,Driver_R,22.75,1,5,1,1,0,0
O,Driver_O,22.25,1,3,3,0,0,0
G,Driver_G,22.0,1,1,4,0,0,0
N,Driver_N,22.0,1,5,2,0,0,0
AK,Driver_AK,22.0,1,5,2,0,0,0
AL,Driver_AL,22.0,1,2,4,1,0,0
J,Driver_J,21.75,1,2,4,0,0,0
Y,Driver_Y,21.75,1,1,4,0,0,0
L,Driver_L,21.5,1,1,4,0,0,0
1,Helper_1,24.0,0,5,1,0,0,0
2,Helper_2,22.0,0,5,1,0,0,0
3,Helper_3,22.0,0,5,1,0,0,0
27,Helper_27,20.75,0,5,1,0,0,0
39,Helper_39,20.5,0,5,1,0,0,0
26,Helper_26,20.0,0,5,1,0,0,0
20,Helper_20,20.0,0,5,1,0,0,0
47,Helper_47,20.0,0,3,3,0,0,0
45,Helper_45,20.0,0,5,1,0,0,0
22,Helper_22,19.75,0,5,1,0,0,0
16,Helper_16,19.75,0,2,3,0,0,0
21,Helper_21,19.5,0,5,1,0,0,0
12,Helper_12,19.25,0,4,2,0,0,0
46,Helper_46,19.25,0,5,1,0,0,0
43,Helper_43,18.75,0,3,3,0,0,0
6,Helper_6,18.75,0,4,2,0,0,0
40,Helper_40,18.75,0,4,2,0,0,0
33,Helper_33,18.5,0,2,4,0,0,0
42,Helper_42,18.5,0,4,2,0,0,0
19,Helper_19,18.25,0,3,3,0,0,0
38,Helper_38,18.25,0,4,2,0,0,0
8,Helper_8,18.0,0,3,3,0,0,0
41,Helper_41,18.0,0,5,1,0,0,0
32,Helper_32,18.0,0,4,2,0,0,0
5,Helper_5,17.75,0,3,3,0,0,0
24,Helper_24,17.75,0,4,2,0,0,0
36,Helper_36,17.75,0,4,2,0,0,0
18,Helper_18,17.75,0,5,2,0,0,0
15,Helper_15,17.75,0,1,4,0,0,0
25,Helper_25,17.5,0,4,2,0,0,0
37,Helper_37,17.5,0,3,3,0,0,0
4,Helper_4,17.25,0,2,4,0,0,0
34,Helper_34,17.25,0,1,4,0,0,0
14,Helper_14,17.25,0,4,2,0,0,0
23,Helper_23,17.25,0,1,4,0,0,0
31,Helper_31,17.0,0,3,3,0,0,0
30,Helper_30,17.0,0,4,3,0,0,0
9,Helper_9,16.75,0,1,4,0,0,0
28,Helper_28,16.75,0,5,2,0,0,0
13,Helper_13,16.75,0,1,4,0,0,0
29,Helper_29,16.75,0,2,4,0,0,0
10,Helper_10,16.5,0,3,3,0,0,0
17,Helper_17,16.25,0,4,3,0,0,0
11,Helper_11,16.25,0,1,4,0,0,0
44,Helper_44,16.25,0,1,4,0,0,0
7,Helper_7,15.75,0,2,4,0,0,0
35,Helper_35,15.5,0,3,3,0,0,0
48,Helper_48,15.0,0,2,4,0,0,0
