route_id,day,drive_hours,work_hours,crew_size,need_boston,need_events,need_elite,distance_mi
R001,Fri,4.75,3.25,2,0,0,0,15
R002,Fri,4.5,3.0,2,0,0,0,60
R003,Fri,4.25,2.75,2,0,1,0,15
R004,Fri,5.0,3.5,2,0,0,0,45
R005,Fri,4.75,3.25,2,1,0,0,15
R006,Fri,4.25,3.0,2,0,0,0,15
R007,Fri,5.0,3.25,2,0,0,1,60
R008,Fri,5.0,3.25,2,0,0,0,15
R009,Fri,4.75,3.0,2,0,0,0,30
R010,Fri,4.75,3.25,2,0,0,0,30
R011,Fri,4.75,3.25,3,0,0,0,30
R012,Fri,4.75,3.25,2,0,0,0,30
R013,Fri,4.5,3.0,2,0,0,0,15
R014,Fri,5.0,3.25,2,0,0,0,45
R015,Fri,4.75,3.25,2,0,0,0,15
R016,Fri,4.75,3.0,2,0,0,0,15
R017,Fri,4.75,3.0,2,1,0,0,15
R018,Fri,4.75,3.0,2,0,0,1,15
R019,Fri,5.0,3.5,2,0,0,0,30
R020,Fri,4.75,3.0,2,0,0,0,60
R021,Fri,4.25,3.0,2,0,0,0,15
R022,Fri,5.0,3.5,2,0,0,0,15
R023,Fri,4.75,3.25,2,0,0,1,15
R024,Fri,4.75,3.25,2,0,0,0,60
R025,Fri,4.75,3.0,2,0,0,0,15
R026,Fri,4.5,3.0,2,0,0,0,30
R027,Sun,4.25,3.0,2,1,0,0,15
R028,Sun,4.75,3.25,3,0,0,0,30
R029,Sun,4.75,3.25,2,1,0,0,15
R030,Sun,5.0,3.25,2,0,1,0,30
R031,Sun,4.75,3.25,2,1,0,0,30
R032,Sun,4.75,3.25,2,0,0,0,30
R033,Sun,4.25,3.0,2,0,0,0,60
R034,Sun,4.75,3.25,2,0,0,0,30
R035,Sun,4.75,3.0,2,0,0,0,15
R036,Sun,5.5,3.5,2,0,0,0,15
R037,Sun,5.0,3.25,2,0,0,1,60
R038,Sun,4.75,3.0,2,0,0,0,30
R039,Sun,4.25,3.0,2,0,0,0,15
R040,Sun,5.0,3.25,2,0,0,0,60
R041,Sun,5.0,3.25,2,0,0,0,30
R042,Sun,4.75,3.0,2,0,0,0,45
R043,Sun,4.75,3.25,2,0,0,0,45
R044,Sun,4.75,3.25,3,1,0,0,15
R045,Sun,4.75,3.25,2,0,0,0,15
R046,Sun,5.0,3.25,2,0,0,0,45
R047,Sun,4.75,3.25,2,0,0,0,15
R048,Sun,4.75,3.25,2,0,1,0,45
R049,Sun,4.5,3.0,2,0,0,0,15
R050,Sun,4.5,3.0,3,0,0,0,30
R051,Sun,4.25,3.0,2,0,0,0,45
R052,Thu,5.0,3.5,2,1,0,0,60
R053,Thu,5.0,3.25,2,0,0,0,45
R054,Thu,5.0,3.25,2,0,0,0,30
R055,Thu,4.75,3.0,2,0,0,0,15
R056,Thu,4.75,3.25,2,0,0,0,15
R057,Thu,5.0,3.5,2,0,0,0,30
R058,Thu,5.0,3.25,3,0,0,0,30
R059,Thu,5.0,3.5,2,0,0,1,15
R060,Thu,4.25,3.0,2,1,0,0,60
R061,Thu,4.5,3.0,2,0,0,1,30
R062,Thu,5.25,3.5,2,0,0,0,45
R063,Thu,4.25,3.0,2,0,0,0,15
R064,Thu,4.75,3.0,2,0,0,0,15
R065,Thu,4.75,3.25,2,0,0,0,15
R066,Thu,4.75,3.0,2,0,0,0,15
R067,Thu,4.75,3.25,2,0,0,0,15
R068,Thu,4.5,3.0,2,0,0,0,30
R069,Thu,5.0,3.25,2,0,0,0,15
R070,Thu,4.75,3.25,2,0,0,0,45
R071,Thu,5.0,3.25,2,0,0,0,45
R072,Thu,5.0,3.5,2,0,1,0,15
R073,Thu,5.0,3.25,2,0,0,0,15
R074,Sat,5.0,3.5,2,0,0,0,15
R075,Sat,4.5,3.0,2,0,1,0,30
